GeneID	Clid	Samples	TimePoint	Value	Type
SPBC18H10.03_BM45	1	BM45	D14	0.191835	ODEP
YBR240C_BM45	1	BM45	D2	0.281052	ODEP
YBR240C_BM45	1	BM45	D5	0.210158	ODEP
YBR240C_BM45	1	BM45	D14	0.155219	ODEP
YFL013C_BM45	1	BM45	D2	0.176670	ODEP
YFL013C_BM45	1	BM45	D5	0.306757	ODEP
YFL013C_BM45	1	BM45	D14	0.126112	ODEP
YIL160C_BM45	1	BM45	D2	0.233696	ODEP
YIL160C_BM45	1	BM45	D5	0.274077	ODEP
YIL160C_BM45	1	BM45	D14	0.136809	ODEP
YJL065C_BM45	1	BM45	D2	0.171408	ODEP
YJL065C_BM45	1	BM45	D5	0.304663	ODEP
YJL065C_BM45	1	BM45	D14	0.089581	ODEP
YJR111C_BM45	1	BM45	D2	0.301441	ODEP
YJR111C_BM45	1	BM45	D5	0.276391	ODEP
YJR111C_BM45	1	BM45	D14	0.088068	ODEP
YNL278W_BM45	1	BM45	D2	0.283324	ODEP
YNL278W_BM45	1	BM45	D5	0.427983	ODEP
YNL278W_BM45	1	BM45	D14	0.130477	ODEP
YOL082W_BM45	1	BM45	D2	0.224520	ODEP
YOL082W_BM45	1	BM45	D5	0.246657	ODEP
YOL082W_BM45	1	BM45	D14	0.079327	ODEP
SPAC25A8.01c_BM45	1	BM45	D2	0.274321	ODEP
SPAC25A8.01c_BM45	1	BM45	D5	0.147297	ODEP
SPAC25A8.01c_BM45	1	BM45	D14	0.150260	ODEP
SPBC106.12c_BM45	1	BM45	D2	0.255684	ODEP
SPBC106.12c_BM45	1	BM45	D5	0.217429	ODEP
SPBC106.12c_BM45	1	BM45	D14	0.173165	ODEP
SPBC19G7.06_BM45	1	BM45	D2	0.182201	ODEP
SPBC19G7.06_BM45	1	BM45	D5	0.167016	ODEP
SPBC19G7.06_BM45	1	BM45	D14	0.167575	ODEP
SPCC1494.07_BM45	1	BM45	D2	0.127297	ODEP
SPCC1494.07_BM45	1	BM45	D5	0.125950	ODEP
SPCC1494.07_BM45	1	BM45	D14	0.117420	ODEP
SPCC1682.14_BM45	1	BM45	D2	0.201392	ODEP
SPCC1682.14_BM45	1	BM45	D5	0.146310	ODEP
SPCC1682.14_BM45	1	BM45	D14	0.094843	ODEP
YOR389W_BM45	1	BM45	D2	0.291660	ODEP
YOR389W_BM45	1	BM45	D5	0.210335	ODEP
YOR389W_BM45	1	BM45	D14	0.104020	ODEP
SPAC1142.04_BM45	1	BM45	D2	0.210987	ODEP
SPAC1142.04_BM45	1	BM45	D5	0.256855	ODEP
SPAC1142.04_BM45	1	BM45	D14	0.115591	ODEP
SPBC1198.09_BM45	1	BM45	D2	0.320321	ODEP
SPBC1198.09_BM45	1	BM45	D5	0.235558	ODEP
